module,subbase_thickness_in,pavement_thickness_in,fe3_psi,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,concrete_MR_psi,Re3_decimal,Re3_percent,tufstrand_dosage_lb_per_cy,Mcr_kip_in_per_ft,Mn_FRC_kip_in_per_ft,Mtotal_FRC_kip_in_per_ft,phi_FRC,phi_Mtotal_FRC_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,fe3_psi_for_lcc_lca_mapping,fiber_quantity_note,feasible,warnings
FRC,4,6,100,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.15384615384615385,15.384615384615385,3.0,46.8,7.2,54.0,1.0,54.0,0.6687311400734172,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,6,150,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.23076923076923078,23.076923076923077,3.4,46.8,10.8,57.599999999999994,1.0,57.599999999999994,0.6269354438188286,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,6,200,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.3076923076923077,30.76923076923077,4.9,46.8,14.4,61.199999999999996,1.0,61.199999999999996,0.590056888300074,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,6,250,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.38461538461538464,38.46153846153847,6.4,46.8,18.0,64.8,1.0,64.8,0.5572759500611809,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,6,300,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.46153846153846156,46.15384615384615,7.9,46.8,21.6,68.4,1.0,68.4,0.5279456369000661,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,6,350,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.5384615384615384,53.84615384615385,9.4,46.8,25.2,72.0,1.0,72.0,0.5015483550550628,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,6,400,19.0,9.5,100.0,#57 stone,110.00000000000001,28.285316431310303,5.499039842323396,5.136027579968186,501.5483550550628,36.111481563964524,650.0,0.6153846153846154,61.53846153846154,10.9,46.8,28.8,75.6,1.0,75.6,0.47766510005244084,0.771612853930866,45000.0,41000.0,86000.0,1592.5925925925926,1061.7283950617284,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,8,100,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.15384615384615385,15.384615384615385,3.0,83.2,12.8,96.0,1.0,96.0,0.41611794661684115,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,8,150,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.23076923076923078,23.076923076923077,3.4,83.2,19.2,102.4,1.0,102.4,0.39011057495328855,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,8,200,19.0,9.5,100.0,#57 stone,110.00000000000001,35.096603882957105,5.499039842323396,5.201089693986001,312.08845996263085,39.94732287521675,650.0,0.3076923076923077,30.76923076923077,4.9,83.2,25.6,108.80000000000001,1.0,108.80000000000001,0.3671628940736833,0.48013609225020126,45000.0,41000.0,86000.0,2123.456790123457,1061.7283950617284,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
