alternative_id,output,parameter,spearman_rho,abs_spearman_rho
1,total_present_worth,concrete_unit_cost,0.6894341410525097,0.6894341410525097
1,total_present_worth,stone_57_unit_cost,0.16288086233584034,0.16288086233584034
1,total_present_worth,rebar_unit_cost,0.6641059428954346,0.6641059428954346
1,total_present_worth,fiber_unit_cost,0.003230863070828346,0.003230863070828346
1,total_present_worth,demolition_cost,0.040871602698364644,0.040871602698364644
1,total_present_worth,crushing_cost,0.03634178971357672,0.03634178971357672
1,total_present_worth,recycled_aggregate_credit,-0.022500809334312324,0.022500809334312324
1,total_present_worth,discount_rate,-0.17275815533574712,0.17275815533574712
1,gwp_total_project_kgco2e,concrete_gwp_factor,0.9843087039678036,0.9843087039678036
1,gwp_total_project_kgco2e,stone_57_gwp_factor,0.015059549651207822,0.015059549651207822
1,gwp_total_project_kgco2e,rebar_gwp_factor,0.16739965470878387,0.16739965470878387
1,gwp_total_project_kgco2e,trucking_gwp_factor,0.04032447306019379,0.04032447306019379
1,gwp_total_project_kgco2e,demolition_gwp_factor,0.022059030196503612,0.022059030196503612
1,gwp_total_project_kgco2e,crushing_gwp_factor,0.02497694355264678,0.02497694355264678
1,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
2,total_present_worth,concrete_unit_cost,0.7757196340955679,0.7757196340955679
2,total_present_worth,stone_57_unit_cost,0.1799984787387834,0.1799984787387834
2,total_present_worth,rebar_unit_cost,0.5483102501592602,0.5483102501592602
2,total_present_worth,fiber_unit_cost,0.0026106616699082645,0.0026106616699082645
2,total_present_worth,demolition_cost,0.045399464113647786,0.045399464113647786
2,total_present_worth,crushing_cost,0.03937846641898339,0.03937846641898339
2,total_present_worth,recycled_aggregate_credit,-0.02727247131884499,0.02727247131884499
2,total_present_worth,discount_rate,-0.19163934619945047,0.19163934619945047
2,gwp_total_project_kgco2e,concrete_gwp_factor,0.9905834818069855,0.9905834818069855
2,gwp_total_project_kgco2e,stone_57_gwp_factor,0.01508379779816152,0.01508379779816152
2,gwp_total_project_kgco2e,rebar_gwp_factor,0.1285029291694492,0.1285029291694492
2,gwp_total_project_kgco2e,trucking_gwp_factor,0.03847631490012653,0.03847631490012653
2,gwp_total_project_kgco2e,demolition_gwp_factor,0.02217406362906163,0.02217406362906163
2,gwp_total_project_kgco2e,crushing_gwp_factor,0.02532222151300889,0.02532222151300889
2,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
3,total_present_worth,concrete_unit_cost,0.5225767999875267,0.5225767999875267
3,total_present_worth,stone_57_unit_cost,0.12700756233246702,0.12700756233246702
3,total_present_worth,rebar_unit_cost,0.8219487498749555,0.8219487498749555
3,total_present_worth,fiber_unit_cost,0.004252357983236943,0.004252357983236943
3,total_present_worth,demolition_cost,0.031617804636455124,0.031617804636455124
3,total_present_worth,crushing_cost,0.02964532334059413,0.02964532334059413
3,total_present_worth,recycled_aggregate_credit,-0.013525394914114159,0.013525394914114159
3,total_present_worth,discount_rate,-0.13345898874600326,0.13345898874600326
3,gwp_total_project_kgco2e,concrete_gwp_factor,0.9639852184930181,0.9639852184930181
3,gwp_total_project_kgco2e,stone_57_gwp_factor,0.014958354133855344,0.014958354133855344
3,gwp_total_project_kgco2e,rebar_gwp_factor,0.2537309856135564,0.2537309856135564
3,gwp_total_project_kgco2e,trucking_gwp_factor,0.04421487771371795,0.04421487771371795
3,gwp_total_project_kgco2e,demolition_gwp_factor,0.02170361512976945,0.02170361512976945
3,gwp_total_project_kgco2e,crushing_gwp_factor,0.024063378316729354,0.024063378316729354
3,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
4,total_present_worth,concrete_unit_cost,0.6297785764601355,0.6297785764601355
4,total_present_worth,stone_57_unit_cost,0.150524963771058,0.150524963771058
4,total_present_worth,rebar_unit_cost,0.7285391328594797,0.7285391328594797
4,total_present_worth,fiber_unit_cost,0.0035938180140455277,0.0035938180140455277
4,total_present_worth,demolition_cost,0.03765011049781205,0.03765011049781205
4,total_present_worth,crushing_cost,0.03407857887148743,0.03407857887148743
4,total_present_worth,recycled_aggregate_credit,-0.01926227103919291,0.01926227103919291
4,total_present_worth,discount_rate,-0.15921713632403414,0.15921713632403414
4,gwp_total_project_kgco2e,concrete_gwp_factor,0.9787249619396181,0.9787249619396181
4,gwp_total_project_kgco2e,stone_57_gwp_factor,0.015026051306554421,0.015026051306554421
4,gwp_total_project_kgco2e,rebar_gwp_factor,0.19526339205336937,0.19526339205336937
4,gwp_total_project_kgco2e,trucking_gwp_factor,0.04160757797369904,0.04160757797369904
4,gwp_total_project_kgco2e,demolition_gwp_factor,0.021962580760849035,0.021962580760849035
4,gwp_total_project_kgco2e,crushing_gwp_factor,0.024702901930457162,0.024702901930457162
4,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
5,total_present_worth,concrete_unit_cost,0.7077170421364629,0.7077170421364629
5,total_present_worth,stone_57_unit_cost,0.1665579744578872,0.1665579744578872
5,total_present_worth,rebar_unit_cost,0.6421344696551579,0.6421344696551579
5,total_present_worth,fiber_unit_cost,0.003115000097662,0.003115000097662
5,total_present_worth,demolition_cost,0.041843138666241265,0.041843138666241265
5,total_present_worth,crushing_cost,0.037000528790896214,0.037000528790896214
5,total_present_worth,recycled_aggregate_credit,-0.023502309304888926,0.023502309304888926
5,total_present_worth,discount_rate,-0.17679565862694532,0.17679565862694532
5,gwp_total_project_kgco2e,concrete_gwp_factor,0.9857857264076583,0.9857857264076583
5,gwp_total_project_kgco2e,stone_57_gwp_factor,0.015067445271914979,0.015067445271914979
5,gwp_total_project_kgco2e,rebar_gwp_factor,0.15915599317940643,0.15915599317940643
5,gwp_total_project_kgco2e,trucking_gwp_factor,0.03993210788461285,0.03993210788461285
5,gwp_total_project_kgco2e,demolition_gwp_factor,0.022086034747394418,0.022086034747394418
5,gwp_total_project_kgco2e,crushing_gwp_factor,0.02505357227485343,0.02505357227485343
5,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
6,total_present_worth,concrete_unit_cost,0.7620639365407936,0.7620639365407936
6,total_present_worth,stone_57_unit_cost,0.17731359949985345,0.17731359949985345
