alternative_id,module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,fe3_psi,n_simulations,random_seed,total_present_worth_mean,total_present_worth_std,total_present_worth_p05,total_present_worth_p50,total_present_worth_p95,total_present_worth_min,total_present_worth_max,gwp_total_project_kgco2e_mean,gwp_total_project_kgco2e_std,gwp_total_project_kgco2e_p05,gwp_total_project_kgco2e_p50,gwp_total_project_kgco2e_p95,gwp_total_project_kgco2e_min,gwp_total_project_kgco2e_max,demand_capacity_ratio_k_mean,demand_capacity_ratio_k_std,demand_capacity_ratio_k_p05,demand_capacity_ratio_k_p50,demand_capacity_ratio_k_p95,demand_capacity_ratio_k_min,demand_capacity_ratio_k_max
1,SRC,4,6,#4,6.0,nan,50000,42,694489.569145156,53314.11622473577,605986.7473737902,694372.5431638495,782797.8203412069,546938.1488988833,868588.6216250403,665259.1096536752,51882.60009418407,586791.1782340051,661554.747818295,756694.1324795681,550159.4873017006,833772.2217901457,0.6632191860320511,0.017349105429911752,0.6384174501254439,0.661656073373944,0.6927449657070045,0.6362021932014537,0.6970651918297803
2,SRC,4,6,#4,8.0,nan,50000,42,618395.6541735261,47870.174048801455,539523.4955046134,618272.3925532156,696910.1502460097,485321.6308926475,780294.1320837676,646275.0021068658,51536.23023061404,568246.2767890188,642610.8920371153,737225.1975514641,535189.9090232836,809590.2097623195,0.8616616082975589,0.0225401472124168,0.8294389221932617,0.8596307952642497,0.900021823648341,0.826560836208841,0.9056347086003458
3,SRC,4,6,#5,6.0,nan,50000,42,869248.710071053,68496.48569358917,756479.3875824634,869220.4957971962,981951.8814494028,688448.1468747989,1072721.9668085848,708858.4740359943,53012.058459133325,628199.3370180333,705184.5925882456,801738.0450126773,584406.948148349,889309.2203716778,0.4665590375476775,0.012204686025626587,0.4491116019520205,0.4654594247006666,0.4873297263909967,0.44755322101228734,0.49036890345987777
4,SRC,4,6,#5,8.0,nan,50000,42,749880.4367816144,57796.52672083133,653951.7212471381,749838.1625416182,845736.6406875459,591790.5184263985,932860.6253067108,679078.1671790197,52190.94236844094,600048.9790024282,675404.9620552496,770862.0447019673,561014.407740145,851374.9779095538,0.5956390386241358,0.015581280965478608,0.5733645290159243,0.5942352026969722,0.6221562253862322,0.5713750004674435,0.6260362327632876
5,SRC,4,6,#5,10.0,nan,50000,42,678259.4728079514,52076.44494358892,591769.658422716,678227.2451986802,764419.3286628302,533795.9413573584,849756.2606953466,661209.983064835,51801.172248442,582852.6371165796,657459.8520306572,752673.359606616,546978.8834952225,828614.4324322793,0.7260339981223954,0.01899227381295491,0.6988832403338844,0.7243228399463619,0.758356223288016,0.6964581720076566,0.7630856266448123
6,SRC,4,6,#5,12.0,nan,50000,42,630512.1634921759,48671.68289528836,550114.742482669,630439.1285442592,710534.0355996503,495132.8899779983,794353.3509544372,649297.8603220452,51585.33362234842,571244.5217409204,645590.6179139668,740341.1475931663,537621.8673319409,813440.7354474297,0.8570328268219215,0.022419063233659626,0.8249832385684494,0.8550129231637759,0.8951869739755051,0.8221206134458817,0.9007697069309015
7,SRC,4,6,#6,6.0,nan,50000,42,1079558.8811875996,89424.47710593102,934877.7581494115,1079533.6649312004,1224214.0599195638,858745.3440991577,1322450.4399212075,761327.2017674162,54952.14256477444,676946.7891383871,757910.5505687809,857240.6228834075,625621.3264796085,956144.0400732354,0.36598529668713126,0.009573784401520197,0.3522989153741263,0.3651227217466273,0.3822785545750817,0.35107646662770897,0.3846625918173685
8,SRC,4,6,#6,8.0,nan,50000,42,908113.621561618,72206.03235096842,789476.4927729598,908074.1105552436,1026593.8252268551,719918.7384399981,1118871.3040121451,718554.5930989862,53324.31860368606,637356.4805705657,714898.6546175734,811980.5451875875,592023.2852825877,901660.1653516495,0.4559935987029236,0.011928305431863033,0.43894126811852663,0.4549188870824522,0.4762939259733731,0.4374181774147347,0.4792642795132354
9,SRC,4,6,#6,10.0,nan,50000,42,805246.4657860289,62609.82429204862,701580.3359726043,805193.9311635538,908809.5689010412,636622.7750445023,997103.8078357561,692891.027897928,52545.55060430215,613309.7608610153,689209.9170716302,785121.6449999833,571864.4605643753,868969.840518698,0.5484227462361814,0.014346153194900851,0.5279139364734483,0.5471301923494876,0.5728379162359828,0.5260821178055627,0.5764103555207828
10,SRC,4,6,#6,12.0,nan,50000,42,736668.3619356361,56694.051744232136,642539.9180826329,736594.2016302447,830746.2438735381,581092.1327808385,917530.1825933655,675781.984430556,52113.14521656311,596823.9806089,672128.684362389,767488.5592547164,558425.2440855668,847176.2906300636,0.6419133934903967,0.016791768656703378,0.6179084087198062,0.6404004955346299,0.670490663005159,0.6157643165109555,0.6746721026702396
11,SRC,4,6,#6,15.0,nan,50000,42,668090.2580852435,51320.61741027212,582900.3552646637,668140.507795865,752875.4229093815,525561.4905171746,837956.5573509748,658672.9409631839,51752.22927809236,580370.6488615059,654969.5731677976,749993.7559786814,544986.0276067585,825382.7407414292,0.7831216393088731,0.020485625523140972,0.7538360328458097,0.7812759337366855,0.8179853426936616,0.7512202827735226,0.8230866163520651
